"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Sarita Vihar","Breakfast","Whole Foods Cafe",28.54129233,77.28366282,"50da89efe4b025ae064f4fe0","New Delhi","Delhi","Breakfast Spot","Breakfast Spots","Sarita Vihar","Mathura rd. (Sarita Vihar)","null","Mathura rd."
"Avantika","Breakfast","Suruchi",28.70291129,77.11760291,"56f7264d498ed90420dfcffa","New Delhi","Delhi","Breakfast Spot","Breakfast Spots","Rohini","Maharaja Agrasain Road (Rohini)",110085,"Maharaja Agrasain Road"
"Hauz Qazi","Breakfast","The Breakfast Club",28.65885519,77.22040505,"52c38a31498e6b0614af51ae","New Delhi","Delhi","Breakfast Spot","Breakfast Spots","Tilak Bazar, Khari Baoli, Chandni Chowk","2489, Corner Chhotta Rang Mahal, Phatak Habash Khan, (Tilak Bazar, Khari Baoli, Chandni Chowk)",110006,"2489, Corner Chhotta Rang Mahal, Phatak Habash Khan,"
"23, First Floor, Odeon Building, Radial Road 5, D Block","Caf�","Odeon Social",28.6344142,77.22093551,"569b32b5498ef7c4152b45fb","New Delhi","Delhi","Caf�","Caf�s","null","23, First Floor, Odeon Building, Radial Road 5, D Block","null","23, First Floor, Odeon Building, Radial Road 5, D Block"
"Abul Fazal Enclave-I         ","Caf�","Zahra Restaurant & Cafe",28.562307,77.288435,"5fccd9f1b05f39263a31e777","New Delhi","Delhi","Caf�","Caf�s","null","New Delhi 110025",110025,"null"
"Opp. HUDA Grounds","Caf�","Roots - Cafe in the Park",28.46949976,77.06826401,"4d3109e6329e548132daa21d","New Delhi","Delhi","Caf�","Caf�s","Opp. HUDA Grounds","Rajiv Gandhi Renewable Energy Park, Leisure Valley, Sector 29 (Opp. HUDA Grounds)","null","Rajiv Gandhi Renewable Energy Park, Leisure Valley, Sector 29"
"DLF Phase 4","Tea Room","Chaayos",28.46762791,77.08213325,"525c0cae498e426b7bcaad5b","New Delhi","Delhi","Tea Room","Tea Rooms","DLF Phase 4","Ground Floor, Galleria Market (DLF Phase 4)","null","Ground Floor, Galleria Market"
"293 Satya Niketan","Caf�","Cafeteria and CO.",28.588694,77.16914,"58b93e097220e661dd750a5d","New Delhi","Delhi","Caf�","Caf�s","null","293 Satya Niketan","null","293 Satya Niketan"
,"Caf�","Fab Cafe By The Lake",28.598408,77.2458,"5fd4614f537ee64050e2fcfa","New Delhi","Delhi","Caf�","Caf�s","null","India","null","null"
"Baroda House","Caf�","Caf� Lota",28.61317651,77.24207085,"52616b92498ed20e397b6d64","New Delhi","Delhi","Caf�","Caf�s","Bhairon Marg","National Crafts Museum, Pragati Maidan (Bhairon Marg)",110001,"National Crafts Museum, Pragati Maidan"
"Sector 59, Kadarpur","Caf�","Cafe Cover Drive",28.396678,77.10483,"5f4def6323de1e4257124716","New Delhi","Delhi","Caf�","Caf�s","Sector 59, Kadarpur","Backyard Sports Club (Sector 59, Kadarpur)",122102,"Backyard Sports Club"
"Qutub Plaza, DLF City Phase I","Caf�","Barista",28.471292,77.10214984,"4b820582f964a52005c830e3","New Delhi","Delhi","Caf�","Caf�s","null","Qutub Plaza, DLF City Phase I","null","Qutub Plaza, DLF City Phase I"
"Green Park Market","Nightlife","Summer House Cafe",28.55240109,77.20376616,"5332a162498edc37012c3268","New Delhi","Delhi","Other Nightlife","Other Nightlife","null","1st Floor, Aurobindo Place Market",110016,"1st Floor, Aurobindo Place Market"
"D. K. Mohan Garden","Indian","The Potbelly Rooftop Cafe & Kitchen",28.54966648,77.2153403,"4fc101c0e4b0a3bda09bc336","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","Near Slice of Italy","116 C, 4th Flr., Shahpur Jat (Near Slice of Italy)",110059,"116 C, 4th Flr., Shahpur Jat"
"DLF Phase IV","Caf�","Cafe Di Ghent",28.46824836,77.08291805,"5044ca0be4b068ce7e4f7bbb","New Delhi","Delhi","Caf�","Caf�s","DLF Phase IV","208, Level 2, Cross Point Mall (DLF Phase IV)",122002,"208, Level 2, Cross Point Mall"
"Galleria , DLF Phase IV","Caf�","Sakley's Mountain Cafe",28.46758368,77.08169498,"4c0a4340009a0f47d70ce9bf","New Delhi","Delhi","Caf�","Caf�s","Galleria , DLF Phase IV","SF 93, Galleria (Galleria , DLF Phase IV)",122001,"SF 93, Galleria"
"Delhi High Court","Caf�","Perch",28.5999874,77.22634987,"558ff09f498e6019fb981c82","New Delhi","Delhi","Caf�","Caf�s","null","71 Khan Market",110003,"71 Khan Market"
"Amar Colony","Italian","The Big Chill Cafe",28.55272789,77.24192323,"4b5bed2ef964a520971d29e3","New Delhi","Delhi","Italian Restaurant","Italian Restaurants","Kailash Colony Market","HS-5 (Kailash Colony Market)",110024,"HS-5"
"Cyber Hub","Mediterranean","Imperfecto",28.49611547,77.08886965,"5357f60311d26e842ecf994c","New Delhi","Delhi","Mediterranean Restaurant","Mediterranean Restaurants","null","Cyber Hub",122002,"Cyber Hub"
"Andrewsganj","Caf�","Diggin",28.55566502,77.21859021,"530af53a498e95adf56d82ce","New Delhi","Delhi","Caf�","Caf�s","Opp Gargi college","1&2 Anand Lok shopping center (Opp Gargi college)",110049,"1&2 Anand Lok shopping center"
"Greater Kailash","Italian","The Big Chill Cafe",28.6006863,77.22763622,"4b701cbaf964a5209b072de3","New Delhi","Delhi","Italian Restaurant","Italian Restaurants","Khan Market","68A (Khan Market)",110048,"68A"
"Amar Colony","Caf�","Cafe Istanbul",28.569124,77.246034,"60058df5c3db924d3809341f","New Delhi","Delhi","Caf�","Caf�s","null","New Delhi 110024",110024,"null"
"Greater Kailash","Caf�","Barista Coffee M block market, GK-1",28.549718,77.236493,"5ffe7b46e7332d5bf80a6c8c","New Delhi","Delhi","Caf�","Caf�s","Greater Kailash - 1","M34 M Block Market (Greater Kailash - 1)",110048,"M34 M Block Market"
,"Caf�","Cafe coffee day, kirti nagar",28.65614603,77.1502212,"5225db0a11d254b79681cd95","New Delhi","Delhi","Caf�","Caf�s","null","India","null","null"
"Main Market Rajouri Garden","Caf�","Shake Shook Cafe",28.645811,77.119916,"579e1c75498ed629a70486c8","New Delhi","Delhi","Caf�","Caf�s","Main Market Rajouri Garden","Main Market Rajouri Garden","null","null"
"Phase 1","Caf�","Cafe By SOUL",28.471428,77.098015,"6006bdcac6f7954a47216e72","New Delhi","Delhi","Caf�","Caf�s","null","Phase 1",122002,"Phase 1"
"Gadaipur","Caf�","The Grammar Room",28.526008,77.184189,"5a8d9c2751950e7c14f8646f","New Delhi","Delhi","Caf�","Caf�s","Mehrauli","One Style Mile (Mehrauli)",110030,"One Style Mile"
,"Caf�","BiziBean",28.44805645,77.09942288,"53c792eb498e69023fce805e","New Delhi","Delhi","Caf�","Caf�s","null","India","null","null"
"Dlf mall of india","Caf�","United Coffee House",28.56766,77.321557,"57b1e28c498e84b039233228","New Delhi","Delhi","Caf�","Caf�s","null","Dlf mall of india","null","Dlf mall of india"
"Gurugram 122002","Caf�","Cafe Reed",28.451267,77.09661,"5cab688ff96b2c002ca85426","New Delhi","Delhi","Caf�","Caf�s","null","Gurugram 122002",122002,"null"
"Masood Pur","Italian","Paul",28.541008,77.155031,"5e6ca9b3e683eb000847816e","New Delhi","Delhi","Italian Restaurant","Italian Restaurants","Nelson Mandela Marg","Ground Floor, Ambience Mall (Nelson Mandela Marg)",110070,"Ground Floor, Ambience Mall"
"Amberhai","Caf�","Caf� Uncover",28.595997,77.04125,"6005a4c58f6fb1246eab270a","New Delhi","Delhi","Caf�","Caf�s","null","Plot No. 14, Block A, Sector 12A, Dwarka, Delhi,",110075,"Plot No. 14, Block A, Sector 12A, Dwarka, Delhi, 110075"
"Star Mall","Caf�","Cafe Delhi Heights",28.542225,77.370166,"5c8d1983f1936e002c5dc2e0","New Delhi","Delhi","Caf�","Caf�s","null","Star Mall",201304,"Star Mall"
"Anand Niketan","Caf�","Carra Cafe",28.602224,77.186575,"5ff806f31a273141a779cb60","New Delhi","Delhi","Caf�","Caf�s","null","New Delhi 110021",110021,"null"
"Noida 201301","Caf�","blue tokai coffee roasters",28.590543,77.319117,"5bf1506afc9e94002c024571","New Delhi","Delhi","Caf�","Caf�s","null","Noida 201301",201301,"null"
"Masood Pur","Coffee Shop","Blue Tokai Coffee",28.538175,77.142916,"5e118a5c6fab5100070eb8d9","New Delhi","Delhi","Coffee Shop","Coffee Shops","Vasant Kunj","C-9, Pawa Presidential Complex (Vasant Kunj)",110070,"C-9, Pawa Presidential Complex"
"Subhash Nagar Metro Station","Caf�","cafe coffee day",28.64386575,77.09653618,"50d7f715e4b0e013ac49e556","New Delhi","Delhi","Caf�","Caf�s","null","Subhash Nagar Metro Station","null","Subhash Nagar Metro Station"
"Near Tilak Nagar Metro Station","Caf�","CCD tilak nagar",28.63626408,77.09704758,"55a26db2498eb3b2905ffb36","New Delhi","Delhi","Caf�","Caf�s","null","Near Tilak Nagar Metro Station","null","Near Tilak Nagar Metro Station"
,"Caf�","SML INDIA Cafe",28.51116203,77.08765982,"524d28c211d28c3f7f0dcab8","New Delhi","Delhi","Caf�","Caf�s","null","India","null","null"
"Shankar Road","Caf�","Cafe Coffee Day",28.63841741,77.18023528,"4e4b71b618a808fd10fd97cc","New Delhi","Delhi","Caf�","Caf�s","null","Shankar Road","null","Shankar Road"
"Rajouri Garden","Caf�","Cafe Coffee day",28.65019153,77.12334869,"4c14ace37f7f2d7f3541e168","New Delhi","Delhi","Caf�","Caf�s","Rajouri Garden","City square mall (Rajouri Garden)","null","City square mall"
"SCO","Caf�","Cafe Coffee Day",28.45839366,77.04398927,"4be3c9fab02ec9b6c46650c0","New Delhi","Delhi","Caf�","Caf�s","SCO","Sector 15 part 2 (SCO)","null","Sector 15 part 2"
"Distt. Court Complex  Saket   ","Caf�","Pause",28.54064,77.21181,"5d7a1715f6e3190008a2166f","New Delhi","Delhi","Caf�","Caf�s","null","New Delhi 110017",110017,"null"
"B-9","Caf�","The Biker's Cafe",28.52922943,77.15550131,"50cc0fa6e4b0821750a4ed03","New Delhi","Delhi","Caf�","Caf�s","null","B-9","null","B-9"
"Shankar Road","Coffee Shop","Cafe Coffee Day",28.64437193,77.18858093,"4c6cd0cc1585ef3bd171079e","New Delhi","Delhi","Coffee Shop","Coffee Shops","Shankar Road","Old Rajender Nagar (Shankar Road)","null","Old Rajender Nagar"
"Nirman Vihar","Caf�","QD's",28.63640045,77.28542268,"560299b5498eebcef3709314","New Delhi","Delhi","Caf�","Caf�s","null","Nirman Vihar","null","Nirman Vihar"
"Baroda House","Coffee Shop","Cafe Coffee Day (CCD)",28.633641,77.220229,"510d00eae4b0ae0246fc9fcb","New Delhi","Delhi","Coffee Shop","Coffee Shops","Underneath Central Park","Rajiv Chowk Metro Station (Underneath Central Park)",110001,"Rajiv Chowk Metro Station"
"Shop No 31, City Mall","Caf�","Cafe Coffee Day",28.66093691,77.29637146,"52aab44e11d2ffe720c41656","New Delhi","Delhi","Caf�","Caf�s","null","Shop No 31, City Mall","null","Shop No 31, City Mall"
"Noida 201305","Caf�","The Haven",28.571568,77.382394,"5a198073b1ec13338be571ec","New Delhi","Delhi","Caf�","Caf�s","null","Noida 201305",201305,"null"
,"Caf�","Mocha @ Wills India Fashion Week",28.6210931,77.24780914,"4d9bdc2b913a236a4930a908","New Delhi","Delhi","Caf�","Caf�s","null","New Delhi","null","null"
"Kair             ","Caf�","Cafe Coffee Day -Punjabi Bagh",28.66500047,77.11510252,"4c848aad6e8c952138b96d64","New Delhi","Delhi","Caf�","Caf�s","Near Wok in The Cloud resturant","Punjabi Bagh (Near Wok in The Cloud resturant)",110028,"Punjabi Bagh"
"Anand Vihar","Italian","Cafe Wink",28.65731067,77.3170981,"4ecbad0ab8f7782ab80955ea","New Delhi","Delhi","Italian Restaurant","Italian Restaurants","Shrestha vihar","G-1 Sikka Galaxy (Shrestha vihar)",110092,"G-1 Sikka Galaxy"
"Connaught Place, Block B","Fast Food","McDonald's",28.63408191,77.21920575,"4dbcce3ef7b1ab37dd690677","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Connaught Place, Block B","null","Connaught Place, Block B"
"Connaught Place","Fast Food","KFC Restaurant",28.63315832,77.2182012,"5234712f11d2133b3433fb36","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Connaught Place","A Block, Inner Circle (Connaught Place)","null","A Block, Inner Circle"
"Basant Lok","Fast Food","McDonald's",28.55737219,77.16352105,"4d4519741928a35d6838c070","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Basant Lok","Priya Complex (Basant Lok)","null","Priya Complex"
"Hauz Qazi","Market","Parathe Wali Gali | ?????? ???? ???",28.65609953,77.23047852,"5021f6d2e4b052a447575208","New Delhi","Delhi","Market","Markets","null","Chandni Chowk",110006,"Chandni Chowk"
"Rajouri Garden","Fast Food","McDonald's",28.64989286,77.12079132,"4d791545930ef04ddeeec04f","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Rajouri Garden","null","Rajouri Garden"
"MGF Metropolitan","Fast Food","McDonald's",28.48021538,77.08032377,"4e1467ec88777cd5da3353e5","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","MGF Metropolitan","null","MGF Metropolitan"
"Alaknanda","Food Court","Epicuria",28.550926,77.25154709,"51c41590498edcb7db822ca5","New Delhi","Delhi","Food Court","Food Courts","null","Nehru Place Metro Station, Nehru Place",110019,"Nehru Place Metro Station, Nehru Place"
"Delhi High Court","Fast Food","Saleemjaved",28.60096,77.227121,"600a6c2b495a2d5638c8cfd8","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Khan Market","44 Khan Market (Khan Market)",110003,"44 Khan Market"
"Vyapar Kendra","Fast Food","Chinese Corner",28.4599196,77.08373362,"51b0b4a0498e859ad911dd00","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Vyapar Kendra",122001,"Vyapar Kendra"
"Sector 31 market","Sandwiches","Subway",28.45417069,77.051361,"5150065fe4b06c69ff413c5c","New Delhi","Delhi","Sandwich Place","Sandwich Places","null","Sector 31 market",122001,"Sector 31 market"
"Delhi High Court","Halal","Rule The Rolls SaleemJaved",28.60058,77.227177,"5e6f37aab7b89f0008262d3c","New Delhi","Delhi","Halal Restaurant","Halal Restaurants","Rule The Rolls GF","Shop No 10 Pirthviraj Market (Rule The Rolls GF)",110003,"Shop No 10 Pirthviraj Market"
"Delhi High Court","Mughlai","SaleemJaved RuleTheRolls",28.600981,77.22716,"5ffac552c5c6813e71a6f937","New Delhi","Delhi","Mughlai Restaurant","Mughlai Restaurants","Khan Market","44 , 1st Floor (Khan Market)",110003,"44 , 1st Floor"
"Hudson Lane, Kingsway Camp","Fast Food","Rico's",28.69476639,77.20414858,"51fd2459498e1d0d6b443250","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Hudson Lane, Kingsway Camp","90ft Above Ccd (Hudson Lane, Kingsway Camp)","null","90ft Above Ccd"
"qutub plaza, dlf phase 1","Sandwiches","Subway",28.47160687,77.10229928,"4cefacac7b94370430393453","New Delhi","Delhi","Sandwich Place","Sandwich Places","null","qutub plaza, dlf phase 1","null","qutub plaza, dlf phase 1"
"Near SRS Mall","Fast Food","Nirula's",28.453346,77.082787,"59205bbc112c6c4c4cbdd3b3","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Near SRS Mall","Shop 1 & 2, Sri Ram Complex, C - Block, Sushant Lok - 1, Sector 43. (Near SRS Mall)",122002,"Shop 1 & 2, Sri Ram Complex, C - Block, Sushant Lok - 1, Sector 43."
"D.E.S.U. Colony","Fast Food","Bikanerwala C1",28.621424,77.08348,"5d90bdc6d61cd00008e6fafc","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","New Delhi 110058",110058,"null"
"Omaxe World Street","Fast Food","Hunger Cure",28.387304,77.3524,"5dda96c0051b280008eab2ea","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Omaxe World Street",121002,"Omaxe World Street"
"Sector 62","Sandwiches","Subway",28.61303049,77.36650123,"4eb261f26c25aecd46fdb2a4","New Delhi","Delhi","Sandwich Place","Sandwich Places","Sector 62","Logix Cyber Park (Sector 62)","null","Logix Cyber Park"
"Abul Fazal Enclave-I         ","Fast Food","Quick Eats",28.56729,77.280323,"5fda3079a522233d30cce007","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","New Delhi 110025",110025,"null"
,"Fast Food","McDonald's",28.57595962,77.19520137,"505dbaa7e4b017c644fa9786","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","India","null","null"
"Tilak Nagar","Fast Food","McDonald's",28.63940301,77.09650246,"51286296e4b092951236019a","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Tilak Nagar","null","Tilak Nagar"
"Noida Sector 142","Fast Food","McDonald's",28.50074553,77.40955456,"52088b4c11d2ae42ed62eb34","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Noida Sector 142","null","null"
"West Delhi","Fast Food","McDonald's",28.64810249,77.19053921,"4fa7cdfee4b00f7196cdeb4a","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Karol Bagh","null","Karol Bagh"
,"Sandwiches","Subway",28.46030045,77.07889557,"529a00c1498e12a0ab62f08d","New Delhi","Delhi","Sandwich Place","Sandwich Places","null","India","null","null"
,"Fast Food","McDonald's",28.55857665,77.24696724,"515cfb06e4b06c8225040434","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","India","null","null"
,"Fast Food","Burger King",28.69352978,77.15144576,"5537b2de498ee4b97e72f60e","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","India","null","null"
"Rodeo Drive","Fast Food","Burger King",28.420332,77.050078,"5c76c8bc31ac6c0039b61ab6","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Rodeo Drive",122018,"Rodeo Drive"
"Preet Vihar","Fast Food","KFC",28.64205341,77.29601743,"523845e9498ea98095e9fe48","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Preet Vihar","null","Preet Vihar"
"Dr.Mukerjee Nagar","Fast Food","McDonald's",28.70563888,77.19014764,"4c9117b8ae45224b14f1e497","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Main Market","Model Town Part 2 (Main Market)",110009,"Model Town Part 2"
"Phase III","Fast Food","Cioccolato Cafe",28.51132161,77.09335534,"4ce63933b9975481ae06ef44","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Phase III","Udyog Vihar (Phase III)",122001,"Udyog Vihar"
"Sohna Road","Sandwiches","Subway",28.41843505,77.03866656,"5202502e498e1ff33c07e465","New Delhi","Delhi","Sandwich Place","Sandwich Places","Sohna Road","IRIS Tech Park (Sohna Road)","null","IRIS Tech Park"
,"Fast Food","Burger King",28.65089782,77.12070644,"5676620a498ee88586596b94","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","India","null","null"
"Opposite NDRS Metro Station","Fast Food","KFC",28.64498202,77.2235039,"4f2a7e6be4b0b052a3f83532","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Opposite NDRS Metro Station","Airport Express (Opposite NDRS Metro Station)","null","Airport Express"
"Aurobindo Marg, Bhim Nagri, Hauz Khas","Burgers","Wimpy's",28.55204302,77.20427713,"4db0454e0cb6442b2eb506d5","New Delhi","Delhi","Burger Joint","Burger Joints","null","Aurobindo Marg, Bhim Nagri, Hauz Khas","null","Aurobindo Marg, Bhim Nagri, Hauz Khas"
"Tilak Nagar Metro Station","Fast Food","McDonald's",28.63625994,77.09710378,"520ca1d511d22b2278ba3baf","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Tilak Nagar Metro Station","null","Tilak Nagar Metro Station"
"Amberhai","Indian","Haldiram's",28.592532,77.041354,"59ad730b112c6c22febe2319","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","Sector-12","Dwarka City Centre (Sector-12)",110075,"Dwarka City Centre"
,"Fast Food","Gopalji Restaurant",28.44585679,77.044868,"50659554e4b0175f2f6b51a6","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","India","null","null"
"Nsp","Fast Food","McDonald's",28.69244964,77.15280511,"4d18959ecc216ea8701177d3","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Nsp","null","Nsp"
"Ground Floor, Huda City Center Metro Station Complex","Fast Food","Burger King",28.458702,77.072205,"58f304fdc8772e1a0502a58c","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Ground Floor, Huda City Center Metro Station Complex",122003,"Ground Floor, Huda City Center Metro Station Complex"
,"Fast Food","Kaleva",28.70234604,77.1335199,"4e6f191de4cdd991620c245c","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","India","null","null"
"Pacific Mall, Subhash Nagar","Sandwiches","Subway",28.6345593,77.10605572,"513cbaf4e4b07db9295d110f","New Delhi","Delhi","Sandwich Place","Sandwich Places","Pacific Mall, Subhash Nagar","Food Court (Pacific Mall, Subhash Nagar)","null","Food Court"
"Preet vihar","Fast Food","Bikanervala",28.63949271,77.29410429,"4fdf5af5e4b0ab51ed37f069","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Preet vihar","null","Preet vihar"
"Vasant Kunj","Fast Food","KFC",28.52499401,77.15590428,"4b9b7744f964a520070936e3","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Vasant Kunj","Vasant Square (Vasant Kunj)","null","Vasant Square"
"Karol Bagh","Fast Food","KFC",28.64803257,77.1910854,"4dd362992271d21ebd3bcda4","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Karol Bagh","null","Karol Bagh"
"Alaknanda","Fast Food","Nando's Epicuria",28.5513805,77.2519222,"5e624bf5f9a51000080bab50","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Astha Kunj Rd",110019,"Astha Kunj Rd"
"Ashoka Park Extn.","Fast Food","Nando's Punjabi Bagh",28.66655687,77.12475042,"57c1b230498e8532082eb5d7","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","North West Avenue Road",110026,"North West Avenue Road"
"BG02, August Kranti Marg","Fast Food","McDonald's",28.56289117,77.22439712,"4e9171ce49013919db36cfb1","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","BG02, August Kranti Marg","Ansal Plaza (BG02, August Kranti Marg)","null","Ansal Plaza"
"Janpath","Fast Food","McDonald's",28.62653824,77.21950134,"4bed11afe3562d7f5a83fef8","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Janpath","null","Janpath"
"Chandni Chowk","Snacks","Natraj | ?????",28.65635734,77.23058724,"4e4fb253d22daf51d278ccb2","New Delhi","Delhi","Snack Place","Snack Places","null","Chandni Chowk","null","Chandni Chowk"
"Kaushambi","Fast Food","McDonald's",28.64527914,77.32398722,"51c06dca498e2706585b8e02","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","Kaushambi","Kaushambi Metro Station (Kaushambi)",201010,"Kaushambi Metro Station"
"Baroda House","Indian","United Coffee House",28.63247672,77.22111998,"4b59921bf964a520fe8c28e3","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","E 15, Inner Circle, Connaught Place",110001,"E 15, Inner Circle, Connaught Place"
"Gurugram 122001","North Indian","Urban Tandoor",28.453374,77.051073,"6006ff656354806dc93ec144","New Delhi","Delhi","North Indian Restaurant","North Indian Restaurants","null","Gurugram 122001",122001,"null"
"Sohna Road,","Dhaba","Shri Ram Parathe",28.41211247,77.04163519,"5693b8e1498eec2ab9cd1366","New Delhi","Delhi","Dhaba","Dhabas","Sohna Road,","Omax Chowk (Sohna Road,)",122004,"Omax Chowk"
"Sector 31","North Indian","Capital Restaurant",28.45356403,77.05090293,"515edc5fe4b05bf886a46b87","New Delhi","Delhi","North Indian Restaurant","North Indian Restaurants","Sector 31","Shop No. 210, Huda Market (Sector 31)","null","Shop No. 210, Huda Market"
"Brahmaputra shopping complex","Indian Sweets","Jsb Evergreen Sweets",28.570097,77.332664,"58c267a2d7b4731c54ebe092","New Delhi","Delhi","Indian Sweet Shop","Indian Sweet Shops","null","Brahmaputra shopping complex",201301,"Brahmaputra shopping complex"
"28 Green Park","Indian","Evergreen Sweets",28.55649695,77.20241127,"4c1f21ddfcf8c9b6a73cae0b","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","28 Green Park","CB8 0SQ","28 Green Park"
"Delhi High Court","Indian","Indian Accent",28.59202584,77.23800557,"5a0557269deb7d67455194ac","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","Lodhi Road",110003,"Lodhi Road"
"Sector 29","Indian","Bikanervala",28.46881916,77.06346198,"4bd14eff41b9ef3b6fccfbe5","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","Sector 29",122001,"Sector 29"
"Hauz Qazi","Indian","Karim's | ???? | ???? (Karim's)",28.64949759,77.23369085,"4b42e3c7f964a520b5da25e3","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","Gali Kababian","16, Jama Masjid (Gali Kababian)",110006,"16, Jama Masjid"
"Sun city","Indian","Indian Grill Room",28.43376296,77.10568746,"4f8599e4e4b0a3bc16233899","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","Sun city","null","Sun city"
"Amar Colony","Indian","Haldiram's",28.56523638,77.23816911,"4cccfe312dc437041ba4cb08","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","45, Ring Road, Lajpat Nagar-III",110024,"45, Ring Road, Lajpat Nagar-III"
"1 Hauz Khas Village","South Indian","Naivedyam",28.55498712,77.19510434,"4e1c6ba418a81211e991ad22","New Delhi","Delhi","South Indian Restaurant","South Indian Restaurants","null","1 Hauz Khas Village","null","1 Hauz Khas Village"
"Diplomatic Enclave","Indian","Pavilion",28.59717561,77.1735414,"4f0875d0e4b05dd3a3214fb9","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","Diplomatic Enclave","ITC Maurya, Sardar Patel Marg (Diplomatic Enclave)","null","ITC Maurya, Sardar Patel Marg"
"Badarpur","Indian Sweets","Haldiram's",28.51874906,77.29490658,"4bd690fd637ba5934f6af870","New Delhi","Delhi","Indian Sweet Shop","Indian Sweet Shops","Mathura Rd","B-1, H/8, Mohan Cooperative Industrial Estate, Mathura Road (Mathura Rd)",110044,"B-1, H/8, Mohan Cooperative Industrial Estate, Mathura Road"
"DLF, Galleria","Indian","Khan Chacha | ??? ???? | ??? ????",28.46728005,77.08163948,"50af38cae4b0602cfb37c034","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","DLF, Galleria","null","DLF, Galleria"
"866 National Hwy. 8","Indian","Park Balluchi",28.49913776,77.08823547,"5022188be4b072c7e6b83b25","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","866 National Hwy. 8",122008,"866 National Hwy. 8"
"Old Rajendera Nagar","Indian","Sagar Ratna (Old Rajendera Nagar)",28.643154,77.186473,"51ee6ec8498e5bc58a631bb8","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","Old Rajendera Nagar","null","Old Rajendera Nagar"
"32nd Avenue","South Indian","Carnatic Cafe",28.461506,77.049736,"5b6fd78a037be1002c6b7ca3","New Delhi","Delhi","South Indian Restaurant","South Indian Restaurants","null","32nd Avenue",122022,"32nd Avenue"
"Hotel Ashoka","Indian","Sagar Ratna",28.59555141,77.1957636,"4d0b26366aa05481a659e8aa","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","Hotel Ashoka","null","Hotel Ashoka"
