Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,id,location_address,location_crossStreet,location_neighborhood,location_postalCode,location_city,location_state,location_country,categories_name,categories_pluralName,categories_shortName,cluster_label
West Queens,,Restaurant,Carvel,40.75741562,-73.84555,4bb53e342ea19521503daa2f,Citi Field,126th St and Roosevelt Ave,,11368,Flushing,NY,United States,Ice Cream Shop,Ice Cream Shops,Ice Cream,1
West Queens,,Hotel,Citi Field Barking Hot Dog Vendor,40.7566465,-73.84602138,5236051d7e488a4472fe5f9a,126-01 Roosevelt Ave,,,11368,Flushing,NY,United States,Hot Dog Joint,Hot Dog Joints,Hot Dogs,1
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Restaurant,New American Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Restaurant,New American Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Restaurant,New American Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Food Restaurant,New American Food Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Food Restaurant,New American Food Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Food Restaurant,New American Food Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Restaurant,New American Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Restaurant,New American Restaurants,New American,24
Inwood and Washington Heights,,Restaurant,Coolsville,40.860077,-73.930597,5cf465f1829b0c002c5552f7,,,,10040,New York,NY,United States,New American Restaurant,New American Restaurants,New American,24
Northwest Brooklyn,,Restaurant,Happy Cow,40.683025,-73.97572,5c5b91da475abd002c39f4f8,,,,11217,Brooklyn,NY,United States,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,21
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Food Restaurant,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Food Restaurant,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Food Restaurant,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Food Restaurant,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Sunset Park,Greenwood Heights,Restaurant,Japan Village,40.65590374,-74.00611007,5bf07de3bcbf7a002cd8d9f3,934 3rd Ave,btwn 35th & 36th St,Greenwood Heights,11232,Brooklyn,NY,United States,Japanese Restaurant,Japanese Restaurants,Japanese,33
Greenwich Village and Soho,Little Italy,Caf�,Tiger Sugar,40.717139,-73.998169,5d7c220a72c409000888c908,197 Canal St,btwn Mulberry & Mott Sts,Little Italy,10013,New York,NY,United States,Bubble Tea Shop,Bubble Tea Shops,Bubble Tea,14
Lower Manhattan,,Hotel,Eataly Downtown,40.710075,-74.011976,579c12cd498e6e815b3acf50,101 Liberty St,btwn Church & Greenwich St,,10007,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,14
Lower Manhattan,,Hotel,Eataly Downtown,40.710075,-74.011976,579c12cd498e6e815b3acf50,101 Liberty St,btwn Church & Greenwich St,,10007,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,14
Lower Manhattan,,Hotel,Eataly Downtown,40.710075,-74.011976,579c12cd498e6e815b3acf50,101 Liberty St,btwn Church & Greenwich St,,10007,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,14
Lower Manhattan,,Hotel,Eataly Downtown,40.710075,-74.011976,579c12cd498e6e815b3acf50,101 Liberty St,btwn Church & Greenwich St,,10007,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,14
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Edgewater,,Market,Mitsuwa Marketplace,40.81625111,-73.97998765,49f85cbbf964a520f26c1fe3,595 River Rd,at Archer St,,7020,Edgewater,NJ,United States,Supermarket,Supermarkets,Supermarket,37
Greenwich Village and Soho,,Snacks,Levain Bakery,40.72614,-73.9947,5e5454fd0906ab000b3f9b53,340 Lafayette St,,,10012,New York,NY,United States,Bakery,Bakeries,Bakery,14
Greenwich Village and Soho,,Snacks,Mei Li Wah,40.71551985,-73.9979727,49d55b3bf964a5208d5c1fe3,62-64 Bayard St,btwn Elizabeth & Mott St,,10013,New York,NY,United States,Bakery,Bakeries,Bakery,14
Greenwich Village and Soho,,Snacks,Mei Li Wah,40.71551985,-73.9979727,49d55b3bf964a5208d5c1fe3,62-64 Bayard St,btwn Elizabeth & Mott St,,10013,New York,NY,United States,Bakery,Bakeries,Bakery,14
Greenwich Village and Soho,,Snacks,Mei Li Wah,40.71551985,-73.9979727,49d55b3bf964a5208d5c1fe3,62-64 Bayard St,btwn Elizabeth & Mott St,,10013,New York,NY,United States,Bakery,Bakeries,Bakery,14
Greenwich Village and Soho,,Snacks,Mei Li Wah,40.71551985,-73.9979727,49d55b3bf964a5208d5c1fe3,62-64 Bayard St,btwn Elizabeth & Mott St,,10013,New York,NY,United States,Bakery,Bakeries,Bakery,14
Lower East Side,,Snacks,Breads Bakery,40.73661,-73.99181,503fb6d4ebca66a84f029bd8,18 E 16th St,btwn Union Sq W & 5th Ave,,10003,New York,NY,United States,Bakery,Bakeries,Bakery,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Lower East Side,Lower East Side,Hotel,Essex Market,40.71802545,-73.988247,5cd0190f3af988002c46b0c0,88 Essex St,at Delancey St,Lower East Side,10002,New York,NY,United States,Food Court,Food Courts,Food Court,14
Flushing,,Restaurant,Hot Pastrami Stand,40.75774955,-73.84645522,4de6dfbe88777d988186d7a3,Left Field (Field Level),Citi Field,,,Flushing,NY,United States,American Restaurant,American Restaurants,American,1
Central Brooklyn,,Restaurant,Magic Soul Food,40.67634181,-73.91060996,4d55d7e5ba5b224b3a5d1314,2258 Atlantic Ave,,,11233,Brooklyn,NY,United States,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,12
Central Brooklyn,,Restaurant,Magic Soul Food,40.67634181,-73.91060996,4d55d7e5ba5b224b3a5d1314,2258 Atlantic Ave,,,11233,Brooklyn,NY,United States,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,12
Central Brooklyn,,Restaurant,Magic Soul Food,40.67634181,-73.91060996,4d55d7e5ba5b224b3a5d1314,2258 Atlantic Ave,,,11233,Brooklyn,NY,United States,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,12
Central Brooklyn,,Restaurant,Magic Soul Food,40.67634181,-73.91060996,4d55d7e5ba5b224b3a5d1314,2258 Atlantic Ave,,,11233,Brooklyn,NY,United States,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,12
Williamsburg,Williamsburg,Caf�,Partners Coffee,40.718012,-73.959174,4eba99d3be7b1e562036cb46,125 N 6th St,btwn Bedford Ave & Berry St,Williamsburg,11249,Brooklyn,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,6
Chelsea and Clinton,,Caf�,Starbucks,40.73698,-73.9964,4a1c91b1f964a520527b1fe3,510 Avenue of the Americas,at W 14th St,,10011,New York,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,14
Chelsea and Clinton,,Caf�,Starbucks Reserve Roastery,40.74166159,-74.00507983,5c13bf838afbe0002de55061,61 9th Ave,at W 15th St,,10011,New York,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,14
Greenwich Village and Soho,,Snacks,Dominique Ansel Bakery,40.72516335,-74.00297584,4eb13d68e5e8c0f5bd2fd983,189 Spring St,btwn Sullivan & Thompson St,,10012,New York,NY,United States,Bakery,Bakeries,Bakery,14
Greenpoint,Greenpoint,Snacks,Peter Pan Donut & Pastry Shop,40.726102,-73.952252,45ed04d8f964a520a9431fe3,727 Manhattan Ave,btwn Norman & Meserole Ave,Greenpoint,11222,Brooklyn,NY,United States,Donut Shop,Donut Shops,Donuts,6
Northwest Brooklyn,Carroll Gardens,Caf�,East One Coffee Roasters,40.68112804,-73.99652634,58d933702f91cb026f478e38,384 Court St,at Carroll St,Carroll Gardens,11231,Brooklyn,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,21
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Greenpoint,,Grocery,C-Town Supermarkets,40.71412596,-73.94400157,4a4e83e6f964a52095ae1fe3,330 Graham Avenue,,,11211,Brooklyn,NY,United States,Grocery Store,Grocery Stores,Grocery Store,6
Williamsburg,,Caf�,Blue Bottle Coffee,40.716913,-73.961039,5b3cdc52c9a517002c585380,76 N 4 St,at Berry St,,11249,Brooklyn,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,6
Greenwich Village and Soho,,Restaurant,Pastis,40.7392418,-74.007014,5ce5b1f1f5e9d7002c4ad547,52 Gansevoort St,,,10014,New York,NY,United States,French Restaurant,French Restaurants,French,14
Greenwich Village and Soho,,Restaurant,Pastis,40.7392418,-74.007014,5ce5b1f1f5e9d7002c4ad547,52 Gansevoort St,,,10014,New York,NY,United States,French Restaurant,French Restaurants,French,14
Greenwich Village and Soho,,Restaurant,Pastis,40.7392418,-74.007014,5ce5b1f1f5e9d7002c4ad547,52 Gansevoort St,,,10014,New York,NY,United States,French Food Restaurant,French Food Restaurants,French,14
Greenwich Village and Soho,,Restaurant,Pastis,40.7392418,-74.007014,5ce5b1f1f5e9d7002c4ad547,52 Gansevoort St,,,10014,New York,NY,United States,French Food Restaurant,French Food Restaurants,French,14
Chelsea and Clinton,Park Slope,Caf�,Winner,40.665761,-73.982295,5e63ce2913fee000089eecb4,367 7th Ave,11th St,Park Slope,10001,New York,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,21
West Queens,,Breakfast,Keith's Grill,40.75747415,-73.84665887,4db1fecfcda14b702a52cec9,Citi Field,,,11368,Corona,NY,United States,Burger Joint,Burger Joints,Burgers,1
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Restaurant,New American Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Restaurant,New American Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Restaurant,New American Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Food Restaurant,New American Food Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Food Restaurant,New American Food Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Food Restaurant,New American Food Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Restaurant,New American Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Restaurant,New American Restaurants,New American,6
Williamsburg,,Restaurant,Westlight,40.72229487,-73.95677447,57acf9af498e6b8d5376c2d4,111 N 12th St,at Wythe Ave,,11249,Brooklyn,NY,United States,New American Restaurant,New American Restaurants,New American,6
North Bergen,,Caf�,Starbucks,40.792725,-73.99847,56c9f00bcd10c7b2edffdd27,7301 River Rd.,,,7047,North Bergen,NJ,United States,Coffee Shop,Coffee Shops,Coffee Shop,37
Chelsea and Clinton,,Restaurant,Red Lobster,40.755587,-73.98753,434da380f964a520a5281fe3,5 Times Square NYC/5,at W 41st St.,,10036,New York,NY,United States,Seafood Restaurant,Seafood Restaurants,Seafood,4
Chelsea and Clinton,,Caf�,Starbucks,40.733033,-73.999677,4af4448cf964a520fbf021e3,378 Avenue of the Americas,at Waverly Pl,,10011,New York,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,14
Northwest Brooklyn,,Hotel,DeKalb Market Hall,40.69124976,-73.98257927,594277b586f4cc0f251fc389,445 Albee Sq,,,11201,Brooklyn,NY,United States,Food Court,Food Courts,Food Court,21
Northwest Brooklyn,,Hotel,DeKalb Market Hall,40.69124976,-73.98257927,594277b586f4cc0f251fc389,445 Albee Sq,,,11201,Brooklyn,NY,United States,Food Court,Food Courts,Food Court,21
Northwest Brooklyn,,Hotel,DeKalb Market Hall,40.69124976,-73.98257927,594277b586f4cc0f251fc389,445 Albee Sq,,,11201,Brooklyn,NY,United States,Food Court,Food Courts,Food Court,21
Northwest Brooklyn,,Hotel,DeKalb Market Hall,40.69124976,-73.98257927,594277b586f4cc0f251fc389,445 Albee Sq,,,11201,Brooklyn,NY,United States,Food Court,Food Courts,Food Court,21
West Queens,,Caf�,Starbucks,40.73730547,-73.87721925,51323ff4e4b006d9cdccfabc,86-51 Broadway,btwn Justice Ave & Queens Blvd,,11373,Elmhurst,NY,United States,Coffee Shop,Coffee Shops,Coffee Shop,1
Chelsea and Clinton,,Hotel,TurnStyle Underground Market,40.767081,-73.982569,5716655d498e23619f894ef0,1000 S 8th Ave,btwn 57th & 58th St,,10019,New York,NY,United States,Food Court,Food Courts,Food Court,4
Chelsea and Clinton,,Hotel,TurnStyle Underground Market,40.767081,-73.982569,5716655d498e23619f894ef0,1000 S 8th Ave,btwn 57th & 58th St,,10019,New York,NY,United States,Food Court,Food Courts,Food Court,4
Chelsea and Clinton,,Hotel,TurnStyle Underground Market,40.767081,-73.982569,5716655d498e23619f894ef0,1000 S 8th Ave,btwn 57th & 58th St,,10019,New York,NY,United States,Food Court,Food Courts,Food Court,4
Chelsea and Clinton,,Hotel,TurnStyle Underground Market,40.767081,-73.982569,5716655d498e23619f894ef0,1000 S 8th Ave,btwn 57th & 58th St,,10019,New York,NY,United States,Food Court,Food Courts,Food Court,4
Northwest Brooklyn,,Restaurant,L&B Spumoni Gardens at the Barclays Center,40.68309317,-73.97588757,5095b31be4b0a7ac715f2a6d,,,,11217,Brooklyn,NY,United States,Pizza Place,Pizza Places,Pizza,21
West Queens,,Restaurant,Porsche Grille,40.75748524,-73.8466126,57c2482f498e880edc8e63f8,,,,11368,,New York,United States,American Restaurant,American Restaurants,American,1
