Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_crossStreet,location_postalCode,id,location_city,location_state,categories_name,categories_pluralName,categories_shortName,location_neighborhood,cluster_label
Sutton / Epsom / Banstead / Leatherhead,Banstead,Nightlife,Banstead Village Club,51.32229836,-0.203590393,26 Banstead High St,,SM7 2LJ,4c85232c47cc224b6a209e9f,Banstead,Surrey,Other Nightlife,Other Nightlife,Nightlife,,2
Kentish Town / Islington / Barnsburry,Barbican,Art,Barbican Centre,51.519855,-0.093942,Silk St,,EC2Y 8DS,4ac518d3f964a5204da720e3,London,Greater London,Performing Arts Venue,Performing Arts Venues,Performing Arts,,10
Kentish Town / Islington / Barnsburry,Barbican,Library,Barbican Library,51.51947196,-0.094001562,Silk St,,EC2Y 8DS,4ad2f6dff964a520e7e220e3,London,Greater London,Library,Libraries,Library,,10
Kentish Town / Islington / Barnsburry,Barbican,Education,City of London School for Girls,51.51911805,-0.094324091,St. Giles Terrace,Next to Barbican Centre,"EC2Y 8BB,",4b4b8cb7f964a520f09f26e3,London,Greater London,High School,High Schools,High School,,10
Kentish Town / Islington / Barnsburry,Barbican,Library,Barbican Children's Library,51.51995462,-0.094427297,Silk St,,EC2Y 8DS,4c57f4ae744a0f47690bcacb,London,Greater London,Library,Libraries,Library,,10
Kentish Town / Islington / Barnsburry,Barbican,Building,The Refinery Citypoint,51.519491,-0.089993,1 Ropemaker St,,EC2Y 9HT,4de4a6047d8b2547eb37711a,London,Greater London,Building,Buildings,Building,,10
Kentish Town / Islington / Barnsburry,Barbican,Nightlife,Monalita's,51.520888,-0.095699,6-9 Brigdewater Square,,,53124e67498e3fd9cd87b65d,,,Other Nightlife,Other Nightlife,Nightlife,,10
Isleworth / Twickenham / Richmond,Barnes,Market,Barnes Farmers Market,51.47292192,-0.247693687,Station Rd,Church Rd,SW13 0LW,4bd2d49acaff95215e7cd3f0,Barnes,Greater London,Farmers Market,Farmers Markets,Farmer's Market,,26
Isleworth / Twickenham / Richmond,Barnes,Grocery,Tesco Express,51.4847766,-0.2344947,"159-167 Castelnau, Barnes",,SW13 9EW,4c6f89bcdf6b8cfaa49ab54d,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,,26
Isleworth / Twickenham / Richmond,Barnes,Library,Castelnau Library,51.48018019,-0.237557888,75 Castelnau,,SW13 9RT,4f1adfafa17c71e1e8137742,London,Greater London,Library,Libraries,Library,,26
Isleworth / Twickenham / Richmond,Barnes,Nightlife,3 Byfeld Gardens,51.47560397,-0.240576045,,,,4f944ecee4b0a510a75b3e73,,,Other Nightlife,Other Nightlife,Nightlife,,26
Isleworth / Twickenham / Richmond,Barnes,Movie Theater,Olympic Cinema,51.47517091,-0.240434929,117- 123 Church Rd,,SW13 9HL,500581b1e4b0b2601f1c0a40,London,Greater London,Movie Theater,Movie Theaters,Movie Theater,,26
Isleworth / Twickenham / Richmond,Barnes,Market,Two Peas In A Pod,51.47424049,-0.243747739,85 Church Road,,SW13 9HH,50642a4be4b05b4017ac1a53,,,Farmers Market,Farmers Markets,Farmer's Market,,26
Isleworth / Twickenham / Richmond,Barnes,Movie Theater,Olympic Studios Cafe + Dining Room,51.47515781,-0.240333428,117-123 Church Rd,,,525d24f2498ea4c683746fe2,Barnes,Greater London,Indie Movie Theater,Indie Movie Theaters,Indie Movies,,26
Isleworth / Twickenham / Richmond,Barnes,Restaurant,Côte Brasserie,51.472424,-0.246774,21 Station Rd,,SW13 0LF,5b703cce78782c002c85839b,Barnes,Greater London,French Restaurant,French Restaurants,French,,26
Enfield / Upper Edmonton / Barnet,Barnet,Health,Barnet Hospital,51.65115653,-0.214105737,Wellhouse Ln,,EN5 3DJ,4ad5cb08f964a520810321e3,Barnet,Greater London,Hospital,Hospitals,Hospital,,30
Enfield / Upper Edmonton / Barnet,Barnet,Market,Morrisons,51.61759021,-0.110528469,19 Aldermans Hill,,N13 4EU,4bae11d2f964a520bb803be3,London,Greater London,Supermarket,Supermarkets,Supermarket,,9
Enfield / Upper Edmonton / Barnet,Barnet,Education,Southgate School,51.64633706,-0.142072517,,,,4c59d830ec2520a1c10f5012,,,High School,High Schools,High School,,30
Enfield / Upper Edmonton / Barnet,Barnet,Library,Sheppard Library,51.59044523,-0.22954184,Middlesex University,The Burroughs,NW4 4BT,4c8f660a1664b1f7c4dea72f,Barnet,Greater London,College Library,College Libraries,Library,,33
Enfield / Upper Edmonton / Barnet,Barnet,Library,Cricklewood Library,51.55700986,-0.222901014,,,,4cc971a77151721e57b56637,,,College Library,College Libraries,Library,,33
Enfield / Upper Edmonton / Barnet,Barnet,Health,Royal Free Theatres,51.55333188,-0.167285135,Pond Street,Fleet Street,,4cf7c38a9d11b1f774bdc7ed,London,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,27
Enfield / Upper Edmonton / Barnet,Barnet,Library,Friern Barnet Community Library,51.61343265,-0.153643198,Friern Barnet Rd,,N11 3DS,4e637105b993678bb6eb3f83,Barnet,Greater London,Library,Libraries,Library,,30
Enfield / Upper Edmonton / Barnet,Barnet,Education,Wren Academy,51.61365014,-0.167584755,,,,4e671fb3b9939a72b2db746e,,,High School,High Schools,High School,,30
Enfield / Upper Edmonton / Barnet,Barnet,Nightlife,Third Moon Just Left Of Jupiter,51.61066241,-0.157890126,,,,4fd98214e4b0cc0ff43a3c58,,,Other Nightlife,Other Nightlife,Nightlife,,30
Enfield / Upper Edmonton / Barnet,Barnet,Education,The Totteridge Academy,51.63892558,-0.19929641,,,,50efc385e4b05bd3e56e09f1,,,Middle School,Middle Schools,Middle School,,30
Enfield / Upper Edmonton / Barnet,Barnet,Nightlife,Barricade Radio Chatroom,51.59008291,-0.221410914,,,,515de824e4b0fba2aa7f4f4e,,,Other Nightlife,Other Nightlife,Nightlife,,33
Enfield / Upper Edmonton / Barnet,Barnet,Market,Poisson,51.64892258,-0.147974672,,,,52064a1411d28da67909c70c,,,Fish Market,Fish Markets,Fish Market,,30
Enfield / Upper Edmonton / Barnet,Barnet,Market,Buy2Save International Supermarket,51.57222372,-0.197294578,Golders Green Road,,,5307997f498e7771039d5e47,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,27
Enfield / Upper Edmonton / Barnet,Barnet,Hotel,Middeys Brasserie & Bar,51.65084307,-0.149576248,10 Cockfosters Parade,Cockfosters Rd,EN4 0BX,533479f0498e10485ff2d132,Barnet,Greater London,Bistro,Bistros,Bistro,,30
Enfield / Upper Edmonton / Barnet,Barnet,Market,J. A. Corney,51.61108017,-0.279635489,,,,541bddb4498e556bb406e5b6,,,Fish Market,Fish Markets,Fish Market,,33
Enfield / Upper Edmonton / Barnet,Barnet,Market,Fio's Food Centre,51.650811,-0.149691,,,,572df92e498e95ed5f107cfd,London,Greater London,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,30
Enfield / Upper Edmonton / Barnet,Barnet,Market,The Fruit Bowl,51.655879,-0.201949,,,EN5 5UZ,574025d3498e229f3b667876,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,30
Enfield / Upper Edmonton / Barnet,Barnet,Market,Artichoke,51.556058,-0.178529,,,,580cda1038fae58be69d7c9a,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,27
Enfield / Upper Edmonton / Barnet,Barnet,Education,Magic Nursery,51.59107869,-0.150615869,,,,584a8912d772f952a50a2f19,,,Nursery School,Nursery Schools,Nursery School,,9
Enfield / Upper Edmonton / Barnet,Barnet,Restaurant,La Petite Auberge,51.6472,-0.14713761,12-13 Heddon Court Pde,,EN4 0DB,58d7996e8ee5602ddf2a1d0f,Barnet,Greater London,French Restaurant,French Restaurants,French,,30
Enfield / Upper Edmonton / Barnet,Barnet,Health,Emergency Department,51.650527,-0.216229,Barnet Hospital,,EN5,5d6404c992ab4500086bc14d,Barnet,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,30
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Park,Battersea Park,51.47960315,-0.15725255,Albert Bridge Rd,,SW11 4NJ,4ac518cef964a52015a620e3,London,Greater London,Park,Parks,Park,,0
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Restaurant,Fish In A Tie,51.46669277,-0.169694354,105 Falcon Rd,,SW11 2PF,4ac518d6f964a5202ba820e3,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Grocery,Whole Foods Market,51.46392299,-0.166671999,305-311 Lavender Hill,,SW11 1LN,4ad9f7a0f964a520801c21e3,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Restaurant,Gazette Brasserie,51.46577533,-0.182515492,79 Sherwood Court,Chatfield Road,SW11 3UY,4b4c98cef964a52027b726e3,London,Greater London,French Restaurant,French Restaurants,French,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Breakfast,Chelsea Bridge Burger,51.48339899,-0.149447606,Chelsea Bridge,,SW11 4NJ,4c4ce21c4237be9a86bc0a13,London,Greater London,Burger Joint,Burger Joints,Burgers,,0
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Grocery,M&S Foodhall,51.46216963,-0.167363297,45 St Johns Rd,,SW11 1QP,4d066dd954d0236aaf3cf9d5,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,Northcote,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Hotel,The Hatch by Street Kitchen,51.47948483,-0.168704933,Testbed 1,33 Parkgate Rd,SW11 4NP,4eaec405be7bd46a7c02d7b0,London,Greater London,Food Court,Food Courts,Food Court,,20
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Restaurant,Kaosarn,51.46051547,-0.176385673,110 St John's Hill,Louvaine Rd,SW11 1SJ,503a5c3fe4b0b8a7fe350d40,London,Greater London,Thai Restaurant,Thai Restaurants,Thai,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Restaurant,Boqueria,51.476589,-0.148095,278 Queenstown Rd,,SW8 4LT,53454428498e8f6ca5050bb9,Battersea,Greater London,Spanish Restaurant,Spanish Restaurants,Spanish,,0
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Restaurant,Côte Brasserie,51.46093112,-0.164075712,35-37 Battersea Rise,,SW11 1HG,53dfc2ab498e95d9e0a92d92,London,Greater London,French Restaurant,French Restaurants,French,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Caf�,The Black Cab Coffee Co,51.48248534,-0.136452019,1 Riverlight Quay,,SW11 8AU,5798c068498e8ee9e15d991d,Battersea,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,0
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Market,Hoxton Fruit and Veg,51.4702,-0.170661,575C Battersea Park Road,,SW11 3BH,5814ceb438fa22d88079570c,London,Greater London,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Caf�,Sendero Specialty Coffee,51.46636902,-0.150670601,2 Lavender Hill,,SW11 5RW,588c9a79dfa6ff7202a28644,London,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,Wandsworth,23
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Grocery,Hetu,51.45971,-0.17857578,201 St. Johns Hill,,SW11 1TH,5a521e3bc0af570ec9e0c96d,London,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Grocery,The Surce Bulk Foods,51.46087,-0.16665034,99 St John's road,Battersea,SW11 1QY,5c7c06c4f05ca8002d7546c5,London,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,Northcote,13
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Caf�,Black Sheep Coffee and Cocktails,51.482513,-0.145742,"Unit 20 Circus Rd W, Battersea","Unit 20 Circus Rd W, Battersea, London SW11 8EZ",SW11 8EZ,5fc64620c5729e4054c271b7,London,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,0
Brixton / Clapham / Stockwell / Battersea,Battersea Head district,Restaurant,Or?e,51.459817,-0.166582,Northcote Road 30,Cairns Road,SW11 1NZ,602bb0ad58b68207286da9cc,London,Greater London,French Restaurant,French Restaurants,French,,13
Lambeth / Camberwell / Walworth / Peckham,Beckenham,Market,Pearl Fisheries,51.406514,-0.029069,,,BR3 4DE,54832c88498ee5d2bdc01dc0,Beckenham,Greater London,Fish Market,Fish Markets,Fish Market,,36
Hampstead / Kilburn / Belsize Park,Belsize Park,Caf�,Chamomile,51.54572885,-0.16239831,45 England's Ln,,NW3 4YD,4b51b366f964a520fb5227e3,Belsize Park,Greater London,Café,Cafés,Café,,27
Hampstead / Kilburn / Belsize Park,Belsize Park,Education,The Hall Junior School,51.54647099,-0.172884244,Buckland Crescent,,,4ccfcb6d2fd9b60c8f5a7deb,Belsize Park,Greater London,High School,High Schools,High School,,27
Hampstead / Kilburn / Belsize Park,Belsize Park,Snacks,GAIL's Bakery,51.55006955,-0.164424808,167 Haverstock Hill,,NW3 4QT,51e697d1498eb16d5e5aa7e4,Belsize Park,Greater London,Bakery,Bakeries,Bakery,Belsize,27
Hoxton,Bethnal Green,Market,Columbia Road Flower Market,51.52935815,-0.069565773,Columbia Rd,,E2 7RG,4ac518f3f964a5209fae20e3,London,Greater London,Market,Markets,Market,,29
Hoxton,Bethnal Green,Grocery,The Grocery,51.52887127,-0.077797348,54-56 Kingsland Rd,,E2 8DP,4ad30c88f964a52003e320e3,London,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,Hackney,10
Hoxton,Bethnal Green,Restaurant,Laxeiro,51.52981415,-0.068699893,93 Columbia Rd.,,E2 7RG,4b127df2f964a5203a8a23e3,London,Greater London,Tapas Restaurant,Tapas Restaurants,Tapas,,29
Hoxton,Bethnal Green,Library,Bethnal Green Library,51.52649997,-0.053890194,Cambridge Heath Rd,,E2 0HL,4bbda591a0a0c9b65ed21b0f,London,Greater London,Library,Libraries,Library,,29
Hoxton,Bethnal Green,Restaurant,Essential Vegan,51.526287,-0.07745113,6 Calvert Avenue,,E2 7JP,557583c1498e61f5350ee6b9,London,Greater London,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,Vegetarian / Vegan,Shoreditch,10
Hoxton,Bethnal Green,Restaurant,Morito,51.53090381,-0.07211048,195 Hackney Rd,,E2 8JL,572dcf4b498e6743a25b14dc,London,Greater London,Tapas Restaurant,Tapas Restaurants,Tapas,Hackney,29
Hoxton,Bethnal Green,Market,Victoria Park Market,51.534868,-0.047846,Victoria Park,Gore Rd,E2 9JW,5946566f4c9be62191c282c9,Hackney,Greater London,Farmers Market,Farmers Markets,Farmer's Market,Old Ford,29
Hoxton,Bethnal Green,Caf�,Sazzy And Fran Cafe,51.527807,-0.052322,,,E2 0HU,5c99dbe2d69ed0002ce6be21,London,Greater London,Café,Cafés,Café,,29
Hoxton,Bethnal Green,Nightlife,Oval Night Market,51.533415,-0.058992,,,E2,5cdeed189de23b002cda3cf8,London,Greater London,Night Market,Night Markets,Night Market,,29
Sidcup / Bexleyheath / Bromley,Bexleyheath,Movie Theater,Cineworld,51.45584668,0.150358272,28-70 Broadway,,DA6 7LL,4b8822c6f964a52047e231e3,Bexleyheath,Greater London,Multiplex,Multiplexes,Cineplex,,25
Sidcup / Bexleyheath / Bromley,Bexleyheath,Library,Blackfen Library,51.45041937,0.104265374,7-9 Blackfen Parade,,DA15 9LU,4e09d025b0fbba5eee2b5cba,Bexley,Greater London,Library,Libraries,Library,,25
Sidcup / Bexleyheath / Bromley,Bexleyheath,Education,Lessness Heath Primary School,51.48309326,0.149252802,,,,51f90f6f498e0daf6aa35edd,,,Middle School,Middle Schools,Middle School,,25
Sidcup / Bexleyheath / Bromley,Bexleyheath,Education,St Colomba's Catholic Boys School,51.45410721,0.158784343,,,,522ddaac11d2310975a8af07,,,Middle School,Middle Schools,Middle School,,25
Sidcup / Bexleyheath / Bromley,Bickley,Education,St George's CE Primary School,51.403347,0.034551,Tylney Rd,,BR1 2RL,52b01958498ef2f406abc60d,Bickley,Greater London,Elementary School,Elementary Schools,Elementary School,,16
Hoxton,Bishopsgate,Grocery,Tesco Metro,51.5172216,-0.080311254,"158-164 Bishopsgate, Bishopsgate",,EC2M 4LN,4b1abe09f964a520c4f023e3,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,Bishopsgate,10
Hoxton,Bishopsgate,Entertainment,Bishopsgate Institute,51.51887404,-0.079114275,230 Bishopsgate,,EC2M 4QH,4b969ce8f964a520a6d834e3,London,Greater London,Historic Site,Historic Sites,Historic Site,Bishopsgate,10
Southwark / Lewisham,Blackheath,Park,Blackheath Common,51.47232177,0.007381439,Shooters Hill Rd,,SE3 0TY,4ac518d2f964a5202fa720e3,Blackheath,Greater London,Park,Parks,Park,,3
Southwark / Lewisham,Blackheath,Breakfast,Blackheath Tea Hut,51.47180248,-0.000100077,Shooters Hill,Goffers Rd,SE3 0TY,4b6d45b3f964a520a16e2ce3,London,Greater London,Food And Breakfast Spot,Food And Breakfast Spots,Food And Breakfast,,3
Southwark / Lewisham,Blackheath,Grocery,Apple & Orange,51.47934145,0.023519097,20 Old Dover Road,,SE3 7BT,50aa1671e4b0ea2d5b2ab686,,,Organic Grocery,Organic Groceries,Organic Grocery,Blackheath,38
Southwark / Lewisham,Blackheath,Restaurant,Côte Brasserie,51.46737816,0.007176258,15-16 Royal Parade,,SE3 0TL,50c5e8e8e4b049cab1a7a58b,Blackheath,Greater London,French Restaurant,French Restaurants,French,,3
Southwark / Lewisham,Blackheath,Education,Blackheath High School,51.46751863,0.011199671,,,,523dc91a11d26ab2e4c2878c,,,Private School,Private Schools,Private School,,3
Southwark / Lewisham,Blackheath,Education,Orchard House Nursery,51.479089,0.023005,,,SE3 8TH,5c615e8112c8f0002c77ca32,London,Greater London,Nursery School,Nursery Schools,Nursery School,,38
Holborn / Clerkenwell / Soho (SE),Bloomsbury,Library,Senate House Library,51.52092073,-0.129003525,Malet St,,WC1E 7HU,4b1e9e43f964a520b31c24e3,Bloomsbury,Greater London,College Library,College Libraries,Library,,37
Holborn / Clerkenwell / Soho (SE),Bloomsbury,Grocery,Planet Organic,51.52178103,-0.134473884,22 Torrington Pl,,WC1E 7HJ,4b4c76b4f964a5209ab326e3,Bloomsbury,Greater London,Organic Grocery,Organic Groceries,Organic Grocery,,37
Holborn / Clerkenwell / Soho (SE),Bloomsbury,Market,Kingsbury Fruit & Veg,51.58562709,-0.277090171,477 Kingsbury Rd.,,,4dccfbd1d164679b8cdaa0b6,London,Greater London,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,33
Holborn / Clerkenwell / Soho (SE),Bloomsbury,Library,Keynes Library,51.5239783,-0.130362794,Gordon Square,,WC1 H0PD,50c5e7ade4b085c8e5780767,Bloomsbury,Greater London,College Library,College Libraries,Library,,37
Holborn / Clerkenwell / Soho (SE),Bloomsbury,Library,Bloomsbury Healthcare Library,51.52155888,-0.131592308,Bonham Carter House,52 Gower Street,WC1E 6EB,56430a61498ef77ac225947a,London,Greater London,College Library,College Libraries,Library,,37
Holborn / Clerkenwell / Soho (SE),Bloomsbury,Breakfast,Taco Bell,51.52032884,-0.12301291,75 Southampton Row,,WC1B 4ET,5c010936588e36002cebb528,Bloomsbury,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,37
Tower Hamlets / Hackney,Bow,Park,Victoria Park,51.536548,-0.038972,Grove Rd,,E3 5TB,4ac518cef964a5201da620e3,London,Greater London,Park,Parks,Park,Old Ford,29
Tower Hamlets / Hackney,Bow,Caf�,Mae + Harvey,51.53190178,-0.035209176,414 Roman Rd,Lyal St,E3 5LU,584becec109dfe7d5c4bf2dc,London,Greater London,Café,Cafés,Café,,29
Ealing / Wembley / Acton / Chiswick,Brentford,Market,Morrisons,51.48377141,-0.305265818,228-246 High St,,TW8 0AB,4c6e2461d5c3a1cdadaac72b,Brentford,Greater London,Supermarket,Supermarkets,Supermarket,,12
Sidcup / Bexleyheath / Bromley,Brentwood,Market,Old MacDonald's Farm,51.62583413,0.237564501,Weald Rd,,CM14 5AY,4bdc2669c79cc928835a85e9,Brentwood,Essex,Farm,Farms,Farm,,31
Sidcup / Bexleyheath / Bromley,Brentwood,Education,Brentwood School,51.61952921,0.310160358,Ingrave Road,,CM15 8AS,4e5fbcf71520355eb6690931,Brentwood,Essex,High School,High Schools,High School,,31
Sidcup / Bexleyheath / Bromley,Brentwood,Education,Long Ridings School,51.63529,0.338036,,,,4fbba3a5e4b007859e2c6131,,,Middle School,Middle Schools,Middle School,,31
Brixton / Clapham / Stockwell / Battersea,Brixton,Grocery,Co-op Food,51.43843594,-0.126736624,176-178 Sternhold Av,,SW2 4RU,4b75ce08f964a52002262ee3,Streatham,Greater London,Grocery Store,Grocery Stores,Grocery Store,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Breakfast,McDonald's,51.44589,-0.12542,2/22 STREATHAM PLACE,,SW2 4PZ,4bd964170115c9b64d1a7780,London,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Nightlife,Bodyhammer,51.4665215,-0.107643334,Loughborough Junction,,,4c65db487abde21eb3076268,London,Greater London,Nightclub,Nightclubs,Nightclub,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Education,Jessop Primary School,51.46052673,-0.100532684,,Lowden Road,,5064613ce4b0768b7de1635d,,,Elementary School,Elementary Schools,Elementary School,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Nightlife,Le Jardin du Leander,51.45391331,-0.116343498,Leander Road,Boulevard Josephine,SW2 2LH,51ad1d572fc67e97797a4dbc,Brixton,Greater London,Other Nightlife,Other Nightlife,Nightlife,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Nightlife,Brixton Night Market,51.46113187,-0.115398016,Windrush Square,,,52a371e611d25fe53ac33a11,London,Greater London,Night Market,Night Markets,Night Market,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Restaurant,World of Wurst,51.4636441,-0.112319494,Pop Brixton,,,5586d5cf498e68f4b97b58c4,London,Greater London,German Restaurant,German Restaurants,German,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Restaurant,The Blues Kitchen,51.46031341,-0.120438915,40 Acre Ln,,SW2 5SP,560e5157498ec4c1641d9462,London,Greater London,BBQ Joint,BBQ Joints,BBQ,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Market,Ilias Fish Shop,51.462492,-0.112271,,,,565731d8498e9760a62a55f5,,,Fish Market,Fish Markets,Fish Market,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Nightlife,South Pole Saloon,51.46294692,-0.111909842,Valentia Place,Brixton,,565a14cc498e983dcd9b17ed,,,Night Market,Night Markets,Night Market,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Market,SW foods store,51.46250905,-0.113873564,,,,56e05b8fcd10ce07509f3eed,,,Fruit & Vegetable Store,Fruit & Vegetable Stores,Fruit & Vegetable Store,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Caf�,Blank,51.459763,-0.125213,144 Acre Lane,,SW2 5UT,5b0bdca1178a2a002ced354c,London,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,23
Brixton / Clapham / Stockwell / Battersea,Brixton,Grocery,Ashbys,51.453847,-0.120697,112D Brixton Hill,,SW2 1AH,5f8706a40003d21d162b41f4,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,,23
Greenwich / Poplar / Rotherhithe,Brockley,Caf�,Browns Of Brockley,51.46451315,-0.03734573,5 Coulgate St,opp Brockley Common,SE4 2RW,4ad06a89f964a52003d820e3,Brockley,Greater London,Coffee Shop,Coffee Shops,Coffee Shop,,3
Greenwich / Poplar / Rotherhithe,Brockley,Market,Brockley Market,51.46798007,-0.024794714,Lewisham College Car Park,at Lewisham Way,SE4 1UT,4e86edff30f80c7d3c4e860a,Brockley,Greater London,Farmers Market,Farmers Markets,Farmer's Market,,3
